iter	Passed	Remaining
0	0	96
1	1	87
2	2	83
3	3	76
4	3	75
5	4	75
6	6	86
7	7	91
8	8	90
9	9	89
10	10	88
11	11	86
12	12	84
13	13	82
14	14	80
15	15	79
16	16	78
17	16	77
18	17	75
19	18	74
20	19	73
21	20	72
22	21	70
23	21	69
24	22	68
25	23	67
26	24	65
27	25	64
28	26	64
29	26	62
30	27	61
31	28	59
32	28	58
33	29	56
34	29	55
35	30	54
36	31	53
37	31	51
38	32	50
39	33	49
40	33	48
41	34	46
42	34	45
43	35	44
44	35	43
45	36	42
46	37	41
47	37	40
48	38	40
49	39	39
50	40	39
51	41	38
52	42	37
53	43	37
54	44	36
55	45	35
56	46	34
57	47	34
58	47	33
59	48	32
60	49	31
61	50	31
62	51	30
63	52	29
64	53	28
65	54	27
66	54	26
67	55	26
68	56	25
69	57	24
70	57	23
71	58	22
72	59	21
73	59	21
74	60	20
75	61	19
76	62	18
77	63	17
78	63	16
79	64	16
80	65	15
81	66	14
82	67	13
83	67	12
84	68	12
85	69	11
86	70	10
87	71	9
88	72	8
89	72	8
90	73	7
91	74	6
92	74	5
93	75	4
94	76	4
95	76	3
96	77	2
97	78	1
98	78	0
99	79	0
