iter	Passed	Remaining
0	161	161715
1	163	81399
2	164	54596
3	167	41619
4	168	33588
5	169	28129
6	171	24279
7	172	21374
8	173	19092
9	174	17272
10	175	15794
11	176	14541
12	177	13491
13	181	12750
14	182	11997
15	184	11330
16	185	10736
17	186	10199
18	188	9727
19	189	9300
20	191	8923
21	192	8559
22	195	8313
23	196	8003
24	197	7715
25	198	7448
26	199	7206
27	201	6982
28	202	6772
29	203	6576
30	204	6392
31	205	6220
32	206	6059
33	209	5963
34	211	5830
35	212	5694
36	213	5561
37	214	5436
38	215	5317
39	216	5204
40	217	5098
41	218	4993
42	220	4899
43	221	4805
44	223	4736
45	224	4651
46	225	4567
47	226	4488
48	227	4409
49	228	4334
50	229	4264
51	230	4196
52	231	4130
53	232	4067
54	233	4012
55	234	3955
56	237	3936
57	239	3883
58	240	3832
59	241	3780
60	242	3730
61	243	3683
62	244	3637
63	245	3592
64	246	3551
65	248	3509
66	249	3468
67	252	3460
68	254	3427
69	255	3395
70	256	3359
71	257	3324
72	259	3289
73	260	3258
74	261	3223
75	262	3191
76	263	3159
77	266	3154
78	268	3132
79	270	3107
80	271	3084
81	273	3066
82	274	3033
83	276	3012
84	277	2988
85	278	2962
86	282	2962
87	284	2943
88	285	2920
89	286	2895
90	287	2869
91	288	2846
92	289	2823
93	290	2801
94	291	2781
95	293	2759
96	294	2738
97	297	2733
98	298	2714
99	299	2694
100	300	2675
101	301	2657
102	303	2641
103	304	2623
104	305	2605
105	306	2586
106	307	2568
107	308	2551
108	310	2536
109	311	2520
110	312	2505
111	314	2491
112	315	2476
113	316	2462
114	318	2447
115	319	2432
116	320	2416
117	321	2403
118	325	2407
119	326	2394
120	327	2381
121	328	2366
122	330	2353
123	331	2340
124	332	2327
125	333	2315
126	334	2300
127	335	2288
128	340	2296
129	341	2285
130	342	2274
131	344	2263
132	345	2253
133	346	2241
134	348	2230
135	349	2218
136	350	2207
137	351	2195
138	355	2201
139	356	2191
140	358	2181
141	358	2168
142	360	2157
143	361	2147
144	362	2138
145	363	2128
146	365	2120
147	366	2110
148	370	2117
149	372	2112
150	374	2106
151	376	2098
152	377	2089
153	380	2089
154	382	2083
155	385	2087
156	387	2079
157	388	2072
158	390	2065
159	392	2059
160	393	2048
161	394	2041
162	396	2033
163	400	2041
164	401	2033
165	403	2026
166	406	2029
167	408	2022
168	412	2027
169	413	2021
170	415	2014
171	417	2007
172	418	2001
173	419	1993
174	421	1986
175	427	1999
176	428	1994
177	430	1987
178	431	1980
179	433	1973
180	434	1966
181	436	1964
182	438	1957
183	442	1960
184	443	1952
185	444	1946
186	446	1939
187	447	1932
188	448	1924
189	449	1916
190	450	1909
191	452	1903
192	453	1896
193	457	1900
194	459	1894
195	460	1889
196	461	1882
197	463	1877
198	465	1874
199	467	1868
200	468	1861
201	472	1864
202	474	1861
203	475	1855
204	477	1850
205	478	1844
206	481	1843
207	482	1837
208	483	1831
209	485	1826
210	487	1821
211	488	1816
212	490	1810
213	491	1805
214	493	1800
215	494	1794
216	495	1788
217	498	1787
218	500	1783
219	501	1778
220	503	1773
221	504	1768
222	506	1763
223	507	1759
224	509	1753
225	510	1749
226	516	1758
227	518	1754
228	519	1749
229	521	1745
230	522	1740
231	524	1736
232	526	1731
233	529	1733
234	531	1729
235	533	1725
236	534	1721
237	536	1716
238	537	1712
239	539	1709
240	541	1705
241	545	1708
242	547	1704
243	549	1702
244	551	1698
245	552	1693
246	553	1687
247	554	1681
248	555	1676
249	559	1677
250	560	1672
251	562	1668
252	563	1664
253	564	1658
254	565	1653
255	567	1647
256	568	1642
257	569	1636
258	570	1631
259	571	1627
260	573	1622
261	574	1618
262	575	1613
263	577	1608
264	578	1603
265	579	1598
266	580	1594
267	581	1589
268	583	1584
269	584	1580
270	587	1581
271	589	1576
272	590	1572
273	591	1567
274	592	1563
275	594	1558
276	595	1553
277	596	1548
278	597	1543
279	598	1539
280	602	1541
281	603	1537
282	605	1533
283	606	1528
284	607	1523
285	608	1518
286	609	1514
287	610	1510
288	612	1505
289	613	1501
290	614	1497
291	616	1494
292	618	1491
293	619	1487
294	621	1484
295	622	1480
296	624	1477
